"","Gene","Clinical.feature","Cancer","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","Group1.mean","Group2.mean","Group3.mean","Group4.mean","Group5.mean","term","comparison","estimate","conf.low","conf.high","adj.p.value","p.adj"
"33","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","III-IV",1.04179895208405,-0.80985427339747,2.89345217756558,0.466372086375147,0.999999365038268
"34","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","II-IV",1.63890544951474,-0.492246321511709,3.77005722054118,0.194918304309301,0.999999365038268
"35","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","I-IV",1.52188791234419,-0.175297757331306,3.21907358201969,0.0964103241771382,0.999999365038268
"36","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","II-III",0.597106497430683,-1.03741229686667,2.23162529172804,0.780734319281447,0.999999365038268
"37","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","I-III",0.480088960260137,-0.525039397271366,1.48521731779164,0.605054838415284,0.999999365038268
"38","ACE2","stage","KIRP","Tumor",288,259,"I","II","III","IV",NA,172,21,51,15,NA,0,0,0,0,NA,10.8082458616763,10.9252633988468,10.3281569014161,9.28635794933209,NA,"stage","I-II",-0.117017537170547,-1.57423104892063,1.34019597457953,0.996826188394298,0.999999365038268
"39","ACE2","stage","LAML","Tumor",145,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ACE2","stage","LGG","Tumor",510,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ACE2","stage","LIHC","Tumor",371,347,"I","II","III","IV",NA,171,86,85,5,NA,0,0,0,0,NA,5.33802911797548,4.97469262914503,4.71398237709272,5.64604530552816,NA,NA,NA,NA,NA,NA,NA,NA
"42","ACE2","stage","LUAD","Tumor",512,504,"I","II","III","IV",NA,273,121,84,26,NA,0,0,0,0,NA,6.36357932721515,6.27121960663938,6.46047398299477,6.57363817263193,NA,"stage","III-IV",-0.113164189637169,-1.2317159722215,1.00538759294716,0.993781348886916,0.999999365038268
"43","ACE2","stage","LUAD","Tumor",512,504,"I","II","III","IV",NA,273,121,84,26,NA,0,0,0,0,NA,6.36357932721515,6.27121960663938,6.46047398299477,6.57363817263193,NA,"stage","II-IV",-0.302418565992554,-1.37978980322588,0.774952671240771,0.887679121662187,0.999999365038268
"44","ACE2","stage","LUAD","Tumor",512,504,"I","II","III","IV",NA,273,121,84,26,NA,0,0,0,0,NA,6.36357932721515,6.27121960663938,6.46047398299477,6.57363817263193,NA,"stage","I-IV",-0.21005884541679,-1.23300709928302,0.812889408449441,0.951944954935147,0.999999365038268
"45","ACE2","stage","LUAD","Tumor",512,504,"I","II","III","IV",NA,273,121,84,26,NA,0,0,0,0,NA,6.36357932721515,6.27121960663938,6.46047398299477,6.57363817263193,NA,"stage","II-III",-0.189254376355385,-0.897087156243365,0.518578403532595,0.901212661031096,0.999999365038268
"46","ACE2","stage","LUAD","Tumor",512,504,"I","II","III","IV",NA,273,121,84,26,NA,0,0,0,0,NA,6.36357932721515,6.27121960663938,6.46047398299477,6.57363817263193,NA,"stage","I-III",-0.0968946557796206,-0.718764088662642,0.5249747771034,0.978061943280849,0.999999365038268
"47","ACE2","stage","LUAD","Tumor",512,504,"I","II","III","IV",NA,273,121,84,26,NA,0,0,0,0,NA,6.36357932721515,6.27121960663938,6.46047398299477,6.57363817263193,NA,"stage","I-II",0.0923597205757645,-0.451967647879417,0.636687089030946,0.971982939182992,0.999999365038268
"48","ACE2","stage","LUSC","Tumor",501,497,"I","II","III","IV",NA,244,162,84,7,NA,0,0,0,0,NA,6.04259714983622,5.9124624180684,5.83860610037891,4.76833870410777,NA,NA,NA,NA,NA,NA,NA,NA
"49","ACE2","stage","MESO","Tumor",86,86,"I","II","III","IV",NA,10,16,44,16,NA,0,0,0,0,NA,2.40870253686731,2.67672710055263,2.57493698827145,2.63619972575205,NA,NA,NA,NA,NA,NA,NA,NA
"50","ACE2","stage","OV","Tumor",264,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ACE2","stage","PAAD","Tumor",177,174,"I","II","III","IV",NA,21,146,3,4,NA,0,0,0,0,NA,6.93048799121229,7.33169452684601,7.63419317707725,7.24930382463742,NA,NA,NA,NA,NA,NA,NA,NA
"52","ACE2","stage","PCPG","Tumor",178,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ACE2","stage","PRAD","Tumor",495,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","ACE2","stage","READ","Tumor",159,150,"I","II","III","IV",NA,29,49,50,22,NA,0,0,0,0,NA,9.20501916249543,8.96684158996762,9.24621108600916,9.41113204237334,NA,"stage","III-IV",-0.164920956364179,-1.58235268761452,1.25251077488616,0.990360307696624,0.999999365038268
"55","ACE2","stage","READ","Tumor",159,150,"I","II","III","IV",NA,29,49,50,22,NA,0,0,0,0,NA,9.20501916249543,8.96684158996762,9.24621108600916,9.41113204237334,NA,"stage","II-IV",-0.444290452405717,-1.86613474535429,0.977553840542859,0.848682117573077,0.999999365038268
"56","ACE2","stage","READ","Tumor",159,150,"I","II","III","IV",NA,29,49,50,22,NA,0,0,0,0,NA,9.20501916249543,8.96684158996762,9.24621108600916,9.41113204237334,NA,"stage","I-IV",-0.206112879877907,-1.77252845915897,1.36030269940316,0.98619181946316,0.999999365038268
"57","ACE2","stage","READ","Tumor",159,150,"I","II","III","IV",NA,29,49,50,22,NA,0,0,0,0,NA,9.20501916249543,8.96684158996762,9.24621108600916,9.41113204237334,NA,"stage","II-III",-0.279369496041538,-1.39306585630966,0.834326864226588,0.914729565305354,0.999999365038268
"58","ACE2","stage","READ","Tumor",159,150,"I","II","III","IV",NA,29,49,50,22,NA,0,0,0,0,NA,9.20501916249543,8.96684158996762,9.24621108600916,9.41113204237334,NA,"stage","I-III",-0.0411919235137272,-1.33438029204264,1.25199644501518,0.99979573680489,0.999999365038268
"59","ACE2","stage","READ","Tumor",159,150,"I","II","III","IV",NA,29,49,50,22,NA,0,0,0,0,NA,9.20501916249543,8.96684158996762,9.24621108600916,9.41113204237334,NA,"stage","I-II",0.23817757252781,-1.05984578517172,1.53620093022734,0.964081710073249,0.999999365038268
"60","ACE2","stage","SARC","Tumor",259,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","ACE2","stage","SKCMmets","Tumor",365,311,"I","II","III","IV",NA,74,74,143,20,NA,0,0,0,0,NA,2.0656064926203,2.18350974362924,2.16656264836208,2.31586360540258,NA,"stage","III-IV",-0.149300957040494,-0.53390630179322,0.235304387712232,0.747901734043923,0.999999365038268
"62","ACE2","stage","SKCMmets","Tumor",365,311,"I","II","III","IV",NA,74,74,143,20,NA,0,0,0,0,NA,2.0656064926203,2.18350974362924,2.16656264836208,2.31586360540258,NA,"stage","II-IV",-0.132353861773342,-0.538364673546607,0.273656949999923,0.834317434847998,0.999999365038268
"63","ACE2","stage","SKCMmets","Tumor",365,311,"I","II","III","IV",NA,74,74,143,20,NA,0,0,0,0,NA,2.0656064926203,2.18350974362924,2.16656264836208,2.31586360540258,NA,"stage","I-IV",-0.250257112782273,-0.656267924555538,0.155753698990992,0.384566152911434,0.999999365038268
"64","ACE2","stage","SKCMmets","Tumor",365,311,"I","II","III","IV",NA,74,74,143,20,NA,0,0,0,0,NA,2.0656064926203,2.18350974362924,2.16656264836208,2.31586360540258,NA,"stage","II-III",0.016947095267152,-0.213754457656629,0.247648648190932,0.997573176627731,0.999999365038268
"65","ACE2","stage","SKCMmets","Tumor",365,311,"I","II","III","IV",NA,74,74,143,20,NA,0,0,0,0,NA,2.0656064926203,2.18350974362924,2.16656264836208,2.31586360540258,NA,"stage","I-III",-0.100956155741779,-0.33165770866556,0.129745397182001,0.671023585175042,0.999999365038268
"66","ACE2","stage","SKCMmets","Tumor",365,311,"I","II","III","IV",NA,74,74,143,20,NA,0,0,0,0,NA,2.0656064926203,2.18350974362924,2.16656264836208,2.31586360540258,NA,"stage","I-II",-0.117903251008931,-0.382755501491849,0.146948999473987,0.658844029094488,0.999999365038268
"67","ACE2","stage","SKCMprimary","Tumor",103,98,"I","II","III","IV",NA,2,66,27,3,NA,0,0,0,0,NA,4.32109560470889,2.48555834637597,2.60495204334755,2.06713213905262,NA,NA,NA,NA,NA,NA,NA,NA
"68","ACE2","stage","STAD","Tumor",374,351,"I","II","III","IV",NA,52,111,150,38,NA,0,0,0,0,NA,6.33076656952633,6.5527471278266,6.83487356430474,6.8985205486584,NA,"stage","III-IV",-0.0636469843536549,-1.26313053986016,1.13583657115285,0.99908136948405,0.999999365038268
"69","ACE2","stage","STAD","Tumor",374,351,"I","II","III","IV",NA,52,111,150,38,NA,0,0,0,0,NA,6.33076656952633,6.5527471278266,6.83487356430474,6.8985205486584,NA,"stage","II-IV",-0.345773420831797,-1.58711884598969,0.895572004326099,0.889473397782309,0.999999365038268
"70","ACE2","stage","STAD","Tumor",374,351,"I","II","III","IV",NA,52,111,150,38,NA,0,0,0,0,NA,6.33076656952633,6.5527471278266,6.83487356430474,6.8985205486584,NA,"stage","I-IV",-0.567753979132066,-1.9773043043707,0.841796346106565,0.726150166298745,0.999999365038268
"71","ACE2","stage","STAD","Tumor",374,351,"I","II","III","IV",NA,52,111,150,38,NA,0,0,0,0,NA,6.33076656952633,6.5527471278266,6.83487356430474,6.8985205486584,NA,"stage","II-III",-0.282126436478142,-1.10905108297552,0.544798210019232,0.814856510032984,0.999999365038268
"72","ACE2","stage","STAD","Tumor",374,351,"I","II","III","IV",NA,52,111,150,38,NA,0,0,0,0,NA,6.33076656952633,6.5527471278266,6.83487356430474,6.8985205486584,NA,"stage","I-III",-0.504106994778411,-1.56697952984774,0.558765540290916,0.6117634216324,0.999999365038268
"73","ACE2","stage","STAD","Tumor",374,351,"I","II","III","IV",NA,52,111,150,38,NA,0,0,0,0,NA,6.33076656952633,6.5527471278266,6.83487356430474,6.8985205486584,NA,"stage","I-II",-0.221980558300269,-1.33187951335636,0.887918396755826,0.955160134985389,0.999999365038268
"74","ACE2","stage","TGCT","Tumor",134,81,"I","II","III","IV",NA,55,12,14,0,NA,0,0,0,0,NA,4.4729410194179,5.58103122383477,4.7909506553109,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","ACE2","stage","THCA","Tumor",502,500,"I","II","III","IV",NA,281,52,112,55,NA,0,0,0,0,NA,5.36669070989816,5.39026527399713,5.42673395832225,5.15021616371874,NA,"stage","III-IV",0.276517794603513,-0.0618441001943667,0.614879689401392,0.152375925512632,0.999999365038268
"76","ACE2","stage","THCA","Tumor",502,500,"I","II","III","IV",NA,281,52,112,55,NA,0,0,0,0,NA,5.36669070989816,5.39026527399713,5.42673395832225,5.15021616371874,NA,"stage","II-IV",0.240049110278397,-0.157437442783067,0.637535663339861,0.404495173269524,0.999999365038268
"77","ACE2","stage","THCA","Tumor",502,500,"I","II","III","IV",NA,281,52,112,55,NA,0,0,0,0,NA,5.36669070989816,5.39026527399713,5.42673395832225,5.15021616371874,NA,"stage","I-IV",0.216474546179432,-0.0865296917933716,0.519478784152236,0.255094680218233,0.999999365038268
"78","ACE2","stage","THCA","Tumor",502,500,"I","II","III","IV",NA,281,52,112,55,NA,0,0,0,0,NA,5.36669070989816,5.39026527399713,5.42673395832225,5.15021616371874,NA,"stage","II-III",-0.0364686843251159,-0.38131438011309,0.308377011462859,0.992913426331778,0.999999365038268
"79","ACE2","stage","THCA","Tumor",502,500,"I","II","III","IV",NA,281,52,112,55,NA,0,0,0,0,NA,5.36669070989816,5.39026527399713,5.42673395832225,5.15021616371874,NA,"stage","I-III",-0.0600432484240807,-0.289683319553419,0.169596822705258,0.906909074504229,0.999999365038268
"80","ACE2","stage","THCA","Tumor",502,500,"I","II","III","IV",NA,281,52,112,55,NA,0,0,0,0,NA,5.36669070989816,5.39026527399713,5.42673395832225,5.15021616371874,NA,"stage","I-II",-0.0235745640989649,-0.333802464652349,0.286653336454419,0.997334979599295,0.999999365038268
"81","ACE2","stage","THYM","Tumor",119,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","ACE2","stage","UCEC","Tumor",530,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","ACE2","stage","UCS","Tumor",56,0,"I","II","III","IV",NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","ACE2","stage","UVM","Tumor",80,79,"I","II","III","IV",NA,0,39,36,4,NA,0,0,0,0,NA,NA,2.46436579914511,2.64090581607575,2.15721381444467,NA,NA,NA,NA,NA,NA,NA,NA
"85","TMPRSS2","stage","ACC","Tumor",79,77,"I","II","III","IV",NA,9,37,16,15,NA,0,0,0,0,NA,1.58496250072116,1.64433288370043,1.78635479449091,2.3511788177877,NA,NA,NA,NA,NA,NA,NA,NA
