"","Gene","Clinical.feature","Cancer","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","Group1.mean","Group2.mean","Group3.mean","Group4.mean","Group5.mean","term","comparison","estimate","conf.low","conf.high","adj.p.value","p.adj"
"50","ACE2","race","PAAD","Tumor",177,173,"AA","ASIAN","WHITE",NA,NA,6,11,156,NA,NA,0,0,0,NA,NA,9.22632638664225,6.7891811573702,7.23145384793337,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ACE2","race","PCPG","Normal",3,3,"AA","ASIAN","WHITE",NA,NA,0,0,3,NA,NA,0,0,0,NA,NA,NA,NA,5.33120345332363,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","ACE2","race","PCPG","Tumor",178,173,"AA","ASIAN","WHITE",NA,NA,20,6,147,NA,NA,0,0,0,NA,NA,3.14665678805708,3.2305576773219,2.71313583675924,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ACE2","race","PRAD","Normal",52,46,"AA","ASIAN","WHITE",NA,NA,4,0,42,NA,NA,0,0,0,NA,NA,6.70209652379205,NA,4.40287388466875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","ACE2","race","PRAD","Tumor",495,156,"AA","ASIAN","WHITE",NA,NA,7,2,147,NA,NA,0,0,0,NA,NA,2.85026836841771,3.55542900882533,3.37393152631528,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","ACE2","race","READ","Normal",10,6,"AA","ASIAN","WHITE",NA,NA,0,0,6,NA,NA,0,0,0,NA,NA,NA,NA,9.20923815954224,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","ACE2","race","READ","Tumor",159,86,"AA","ASIAN","WHITE",NA,NA,5,1,80,NA,NA,0,0,0,NA,NA,10.7440766832554,6.86926686728201,9.06608726992949,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","ACE2","race","SARC","Normal",2,2,"AA","ASIAN","WHITE",NA,NA,0,0,2,NA,NA,0,0,0,NA,NA,NA,NA,7.23805657120564,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ACE2","race","SARC","Tumor",259,250,"AA","ASIAN","WHITE",NA,NA,18,6,226,NA,NA,0,0,0,NA,NA,2.66268193924486,2.36957603269982,2.83555028369988,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","ACE2","race","SKCMmets","Normal",1,1,"AA","ASIAN","WHITE",NA,NA,0,0,1,NA,NA,0,0,0,NA,NA,NA,NA,2.0281093967041,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ACE2","race","SKCMmets","Tumor",365,357,"AA","ASIAN","WHITE",NA,NA,1,5,351,NA,NA,0,0,0,NA,NA,2.22385498470325,2.18479964227332,2.16393605377047,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","ACE2","race","SKCMprimary","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","ACE2","race","SKCMprimary","Tumor",103,101,"AA","ASIAN","WHITE",NA,NA,0,7,94,NA,NA,0,0,0,NA,NA,NA,2.8711696972927,2.50167426207538,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","ACE2","race","STAD","Normal",30,23,"AA","ASIAN","WHITE",NA,NA,1,7,15,NA,NA,0,0,0,NA,NA,2.91748260245914,7.51481673449712,8.44424821341431,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","ACE2","race","STAD","Tumor",374,322,"AA","ASIAN","WHITE",NA,NA,11,74,237,NA,NA,0,0,0,NA,NA,8.46449544227586,6.6509013673401,6.57471703610693,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","ACE2","race","TGCT","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","ACE2","race","TGCT","Tumor",134,129,"AA","ASIAN","WHITE",NA,NA,6,4,119,NA,NA,0,0,0,NA,NA,3.8131548107085,3.39321658305612,4.85548589406788,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ACE2","race","THCA","Normal",58,50,"AA","ASIAN","WHITE",NA,NA,5,3,42,NA,NA,0,0,0,NA,NA,5.94372331303204,5.2210322654851,5.7328556552623,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","ACE2","race","THCA","Tumor",502,410,"AA","ASIAN","WHITE",NA,NA,27,51,332,NA,NA,0,0,0,NA,NA,5.40055827360202,5.34225229565741,5.35103253409282,NA,NA,"race","ASIAN-WHITE",-0.00878023843540809,-0.281653616446485,0.264093139575669,0.996846453604776,0.999988432922797
"69","ACE2","race","THCA","Tumor",502,410,"AA","ASIAN","WHITE",NA,NA,27,51,332,NA,NA,0,0,0,NA,NA,5.40055827360202,5.34225229565741,5.35103253409282,NA,NA,"race","AA-WHITE",0.0495257395092024,-0.313562523608414,0.412614002626818,0.944840176742871,0.999988432922797
"70","ACE2","race","THCA","Tumor",502,410,"AA","ASIAN","WHITE",NA,NA,27,51,332,NA,NA,0,0,0,NA,NA,5.40055827360202,5.34225229565741,5.35103253409282,NA,NA,"race","AA-ASIAN",0.0583059779446105,-0.373507547499442,0.490119503388663,0.94591622512883,0.999988432922797
"71","ACE2","race","THYM","Normal",2,2,"AA","ASIAN","WHITE",NA,NA,1,0,1,NA,NA,0,0,0,NA,NA,4.44466706684191,NA,5.66876020524516,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","ACE2","race","THYM","Tumor",119,117,"AA","ASIAN","WHITE",NA,NA,6,12,99,NA,NA,0,0,0,NA,NA,3.71259401444451,4.32043454154655,4.44548883609837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","ACE2","race","UCEC","Normal",22,22,"AA","ASIAN","WHITE",NA,NA,3,0,19,NA,NA,0,0,0,NA,NA,3.66942594521642,NA,4.7516030598077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","ACE2","race","UCEC","Tumor",530,485,"AA","ASIAN","WHITE",NA,NA,105,20,360,NA,NA,0,0,0,NA,NA,4.65026232429997,4.63942196264111,4.87089478103862,NA,NA,"race","ASIAN-WHITE",-0.231472818397505,-1.02265070140552,0.559705064610504,0.770720326910081,0.999988432922797
"75","ACE2","race","UCEC","Tumor",530,485,"AA","ASIAN","WHITE",NA,NA,105,20,360,NA,NA,0,0,0,NA,NA,4.65026232429997,4.63942196264111,4.87089478103862,NA,NA,"race","AA-WHITE",-0.22063245673864,-0.602602377604874,0.161337464127594,0.363966084084437,0.999988432922797
"76","ACE2","race","UCEC","Tumor",530,485,"AA","ASIAN","WHITE",NA,NA,105,20,360,NA,NA,0,0,0,NA,NA,4.65026232429997,4.63942196264111,4.87089478103862,NA,NA,"race","AA-ASIAN",0.0108403616588655,-0.829381442140652,0.851062165458383,0.999492898532941,0.999988432922797
"77","ACE2","race","UCS","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","ACE2","race","UCS","Tumor",56,55,"AA","ASIAN","WHITE",NA,NA,9,3,43,NA,NA,0,0,0,NA,NA,3.05463641759532,2.75014055837492,3.80161603450934,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","ACE2","race","UVM","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","ACE2","race","UVM","Tumor",80,55,"AA","ASIAN","WHITE",NA,NA,0,0,55,NA,NA,0,0,0,NA,NA,NA,NA,2.519630631005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","TMPRSS2","race","ACC","Normal",0,0,"AA","ASIAN","WHITE",NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","TMPRSS2","race","ACC","Tumor",79,68,"AA","ASIAN","WHITE",NA,NA,1,1,66,NA,NA,0,0,0,NA,NA,1.58496250072116,1.58496250072116,1.833509341354,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","TMPRSS2","race","BLCA","Normal",19,18,"AA","ASIAN","WHITE",NA,NA,1,0,17,NA,NA,0,0,0,NA,NA,9.62058091236579,NA,8.26815938153136,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","TMPRSS2","race","BLCA","Tumor",408,391,"AA","ASIAN","WHITE",NA,NA,23,44,324,NA,NA,0,0,0,NA,NA,8.09868021227766,10.4895657643271,8.88923635223756,NA,NA,"race","ASIAN-WHITE",1.6003294120896,0.349738989907737,2.85091983427147,0.007803439597727,0.179864841598703
"85","TMPRSS2","race","BLCA","Tumor",408,391,"AA","ASIAN","WHITE",NA,NA,23,44,324,NA,NA,0,0,0,NA,NA,8.09868021227766,10.4895657643271,8.88923635223756,NA,NA,"race","AA-WHITE",-0.7905561399599,-2.47020440832467,0.889092128404871,0.510090200695262,0.999988432922797
"86","TMPRSS2","race","BLCA","Tumor",408,391,"AA","ASIAN","WHITE",NA,NA,23,44,324,NA,NA,0,0,0,NA,NA,8.09868021227766,10.4895657643271,8.88923635223756,NA,NA,"race","AA-ASIAN",-2.3908855520495,-4.39368368266148,-0.38808742143752,0.0144313294175178,0.179864841598703
"87","TMPRSS2","race","BRCA","Normal",113,112,"AA","ASIAN","WHITE",NA,NA,6,1,105,NA,NA,0,0,0,NA,NA,10.1504892658737,9.97112677905323,8.74826170234001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","TMPRSS2","race","BRCA","Tumor",1084,989,"AA","ASIAN","WHITE",NA,NA,182,61,746,NA,NA,0,0,0,NA,NA,7.96522285705382,8.01227038624592,7.64995908586395,NA,NA,"race","ASIAN-WHITE",0.362311300381975,-0.206231786203012,0.930854386966963,0.293350543886349,0.960056325446232
