"","m1.raw","m1.scaled","Microbiota.x","domain.x","m2.raw","m2.scaled","Microbiota.y","domain.y","m3.raw","m3.scaled","Microbiota.x.1","domain.x.1","m4.raw","m4.scaled","Microbiota.y.1","domain.y.1"
"Micrococcaceae|Paenarthrobacter",0.0927868090245929,28.9085898605848,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Paenarthrobacter","microbiota",0.00242053230729089,1.30129462913097,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Paenarthrobacter","microbiota",0.0120635743980736,2.30557514253893,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Paenarthrobacter","microbiota",0.00663673593146208,1.4645850938866,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Paenarthrobacter","microbiota"
"Micromonosporaceae|Salinispora",0.021975229164981,6.84658620876184,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micromonosporales.f__Micromonosporaceae.g__Salinispora","microbiota",0.00591750880543707,3.18129297558062,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micromonosporales.f__Micromonosporaceae.g__Salinispora","microbiota",0.0242248015728527,4.62981356074913,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micromonosporales.f__Micromonosporaceae.g__Salinispora","microbiota",0.0130297448317425,2.87538486611324,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micromonosporales.f__Micromonosporaceae.g__Salinispora","microbiota"
"Mycoplasmataceae|Ureaplasma",0.0115305148548057,3.59243871325083,"k__Bacteria.p__Tenericutes.c__Mollicutes.o__Mycoplasmatales.f__Mycoplasmataceae.g__Ureaplasma","microbiota",0.0150679231150607,8.10061793545415,"k__Bacteria.p__Tenericutes.c__Mollicutes.o__Mycoplasmatales.f__Mycoplasmataceae.g__Ureaplasma","microbiota",0.0217837865797088,4.16328985019316,"k__Bacteria.p__Tenericutes.c__Mollicutes.o__Mycoplasmatales.f__Mycoplasmataceae.g__Ureaplasma","microbiota",0.00349717796014315,0.771752072703916,"k__Bacteria.p__Tenericutes.c__Mollicutes.o__Mycoplasmatales.f__Mycoplasmataceae.g__Ureaplasma","microbiota"
"myeloid.gene6",0.0839188743897952,26.1457026790686,NA,"immune",0.105980592788479,56.975887399792,NA,"immune",0.0179392973479592,3.42853591110393,NA,"immune",0.14185530375829,31.30441914801,NA,"immune"
"Myxococcaceae|Myxococcus",0.0134623543153484,4.19432119232735,"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales.f__Myxococcaceae.g__Myxococcus","microbiota",0.0014382842813373,0.773231410640616,"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales.f__Myxococcaceae.g__Myxococcus","microbiota",0.0078822101706264,1.50643807863164,"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales.f__Myxococcaceae.g__Myxococcus","microbiota",0.00276842499649133,0.610931943846535,"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales.f__Myxococcaceae.g__Myxococcus","microbiota"
"Neisseriaceae|Conchiformibius",0.0134780790089009,4.19922036626566,"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Conchiformibius","microbiota",0.00314368933374543,1.69006876435283,"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Conchiformibius","microbiota",0.0145613392458918,2.78294481383277,"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Conchiformibius","microbiota",0.0216954439321719,4.78771855870896,"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Conchiformibius","microbiota"
"Nitrospiraceae|Nitrospira",0.0921119183858408,28.6983214303895,"k__Bacteria.p__Nitrospirae.c__Nitrospira.o__Nitrospirales.f__Nitrospiraceae.g__Nitrospira","microbiota",0.00885361656107064,4.75976447189046,"k__Bacteria.p__Nitrospirae.c__Nitrospira.o__Nitrospirales.f__Nitrospiraceae.g__Nitrospira","microbiota",0.00694988381204065,1.32825303942531,"k__Bacteria.p__Nitrospirae.c__Nitrospira.o__Nitrospirales.f__Nitrospiraceae.g__Nitrospira","microbiota",0.00557784077828516,1.23090967371812,"k__Bacteria.p__Nitrospirae.c__Nitrospira.o__Nitrospirales.f__Nitrospiraceae.g__Nitrospira","microbiota"
"Nocardiopsaceae|Nocardiopsis",0.0256619135985091,7.99520689476927,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptosporangiales.f__Nocardiopsaceae.g__Nocardiopsis","microbiota",0.0037080764776104,1.99348713098643,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptosporangiales.f__Nocardiopsaceae.g__Nocardiopsis","microbiota",0.0186419218166796,3.56282061447344,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptosporangiales.f__Nocardiopsaceae.g__Nocardiopsis","microbiota",0.011722864208271,2.58698437822402,"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptosporangiales.f__Nocardiopsaceae.g__Nocardiopsis","microbiota"
"Opitutaceae|Diplosphaera",0.00211239433608235,0.6581360230789,"k__Bacteria.p__Verrucomicrobia.c__Opitutae.o__Opitutales.f__Opitutaceae.g__Diplosphaera","microbiota",NA,NA,NA,NA,0.0305611092740417,5.84080070678706,"k__Bacteria.p__Verrucomicrobia.c__Opitutae.o__Opitutales.f__Opitutaceae.g__Diplosphaera","microbiota",NA,NA,NA,NA
"Pasteurellaceae|Actinobacillus",0.00511050728010054,1.59222588310804,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Actinobacillus","microbiota",0.00706363190185566,3.7974565463787,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Actinobacillus","microbiota",0.0221332440694493,4.2300777254226,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Actinobacillus","microbiota",0.0242709728535303,5.35608248128322,"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Actinobacillus","microbiota"
