"","BRCA","DLBC","PRAD","UCS","SKCMprimary","KICH","HNSC","CESC","BLCA","UCEC","LUSC","OV","CHOL","THYM","PAAD","PCPG","LAML","SARC","LUAD","LIHC","THCA","ESCA","STAD","KIRP","KIRC","MESO","LGG","SKCMmets","GBM","UVM","READ","COAD","ACC","TGCT"
"cDC",0.23933471312828,0.0936570585726693,0.318006506177911,0.0274099010617782,0.187212195576228,0.0336360359624367,0.0949724118896476,0.209144106817929,0.117580421547495,0.193504695775151,0.0763672018512775,-0.0494006679459204,-0.104382521613922,0.0491382993875516,0.34090259863922,0.13866819131414,0.0351249780786316,-0.0245746925904511,0.0440490604744355,-0.0175701505104408,-0.0387806547252252,0.00459224752703014,-0.0220766310265293,-0.015842204887694,0.116273111182844,0.0454738876919598,-0.0183184383803053,-0.0225194999617656,-0.122139702687435,-0.0661521652522166,-0.161723787914975,-0.0941713440876396,-0.0327409931840312,-0.0423427018163045
"Class-switched memory B-cells",-0.000673357929921111,-0.0120810702090053,-0.0337078560512134,0.18115178792469,-0.0130428596063428,0.167637321221996,0.200746883346061,0.175056045664716,0.0987519908331187,0.201896882279113,-0.0532307109475187,0.0164138353876837,-0.233264683323616,0.23374204839456,-0.0408706962832309,-0.0512537291257955,-0.0648577523181225,-0.106941389098003,-0.0318712283356221,-0.17133537187926,0.0228082212233126,0.118787850998937,0.0917602485228968,-0.0677448329778201,-0.00558267134323352,-0.082345495228554,-0.156948323461677,-0.0730660093435982,-0.111468793237412,-0.0304715064896935,-0.227577972940951,-0.228052540977397,-0.0845931011229494,-0.414800592534424
"Memory B-cells",0.244701324807859,0.0685744556625441,-0.0671489333814666,0.022123156510179,0.0965111867798197,-0.225064951738863,0.0737843784229132,0.238737625867889,0.0418818332392822,0.0644723576021414,-0.000963558700603133,-0.0277904599016661,0.180316343318431,0.305395043499848,-0.0106451489029489,-0.0329858159193519,-0.168775506704707,-0.0894594743881638,-0.0149449295235205,-0.127995356831339,0.10890077986177,0.14507170139707,0.150085227317223,0.072220614428647,-0.0522777914382882,-0.0318384965114278,0.061180668344219,-0.0383475580066414,-0.0311466813281434,0.0754299877881316,-0.0311442824995381,0.0192790601250004,0.237226505521514,-0.0693764497328548
"naive B-cells",0.128730428161086,-0.094577521064784,0.0293281031780987,-0.0151665113698483,0.00804114571224872,0.142185026674741,-0.0271371611912631,0.0494983487900584,-0.0492009152720824,-0.00328893813648237,-0.0753499326286589,-0.12508265684235,0.132578700167064,0.120346406062953,-0.0234645580852092,0.0201256676188135,-0.0577010634582146,-0.0989320101991427,-0.0514196894264508,-0.106186092091225,-0.003651603262098,0.110755643286012,0.0542350760914563,0.113657110580194,-0.161683233915306,0.100061822691019,-0.123405022541469,-0.00995584001841788,-0.0926874096558819,-0.0800114986745461,0.0111693327166043,-0.0446163932531455,0.226166020322181,-0.467333571559885
"NK cells",0.0652292351112566,-0.0861831884431349,-0.0380777147703949,0.118482871637115,-0.0849274548471723,0.0194785156748117,0.0417876840493092,0.14411929359129,0.103937807385988,0.0210221130407512,-0.0109918428564231,-0.0671177990842801,0.0674766982887326,0.0745619992861866,0.0514589788730265,0.126551808677505,-0.098540238107761,-0.00277928924225931,-0.0765965477201641,-0.016395128929741,0.0217517981768498,0.0403260506580742,-0.0181630297975758,-0.141260511065067,-0.000280151915045849,-0.0922823476274208,0.00933239139796367,-0.0315102798539051,-0.104104797164949,-0.0674229012944759,-0.0162066415454169,0.027721294129613,-0.0372696725081554,-0.262611041419894
"NKT",-0.00555857067404735,0.0957280991799274,0.0836936216933016,-0.208103351078762,-0.274337490657654,-0.197467192616602,-0.00821187284749139,0.0588703132608343,-0.0971129083131468,-0.0316574834148729,-0.150927022449126,-0.0720747660381878,-0.142857142857143,-0.0562313060817548,-0.0179684389120687,-0.144267141788692,-0.254615523452745,0.0692175537904495,-0.0157710028393527,-0.409692376713492,-0.133336498413188,0.0675782148608235,0.0907722141348903,-0.163322000249167,-0.243399359619396,0.257798694148998,-0.125235664067024,0.0160030388709371,-0.0089889024532112,-0.0803425017145498,-0.112688082159064,0.0457147586515269,0.12373417721519,0.147405172210267
"Plasma cells",0.172744096963424,-0.311116322334764,-0.170454747548657,-0.438045762978567,-0.326645648890767,-0.19307466210355,0.105119164776795,0.155674932691521,-0.0589032026134694,-0.0303820903638103,0.0204845786181816,-0.0826986549672048,-0.0561132561132561,0.444751459905996,-0.0612970976159489,0.0136473160371461,0.0326493027484101,-0.00279580629236806,0.0510519340489629,-0.216813793696548,0.306908386755716,0.322522159846727,0.172772531996208,0.072732214056758,0.108685782590751,0.174577108873038,0.0395496414953951,0.0267476205073141,-0.0172330116195535,-0.210907863624968,0.0258359207069501,-0.0476011333296072,0.316796494644596,-0.0628823368758133
"pro B-cells",0.201490918929584,-0.0379690777997308,-0.105670841725466,-0.255335873856041,-0.188926325435455,-0.0202206546662636,-0.0313014744781195,-0.0816592487549014,-0.105982035938301,-0.160252583363105,-0.0805527526227055,-0.0226679417037425,0.13160132244139,-0.142799152549917,-0.200120274491302,0.130423690350294,-0.0442165100497894,-0.208588592253802,-0.242772937239767,-0.285618873706868,0.0327794962642898,-0.0884496155956544,-0.0243175491610716,-0.185084006029803,-0.112379658893977,-0.0608835409322335,0.0345289772165184,-0.066809489657003,0.00202270854864341,-0.195282924307846,-0.118868044270876,-0.123060193062781,-0.252017289246021,-0.407990423494236
"Tgd cells",-0.147969788159977,NA,0.0599795596863472,NA,0.134575511464347,-0.130744620383447,-0.0361975327861933,0.139638832759318,0.0319271857138186,-0.0485469005387294,-0.0183474009763947,-0.0624221422819655,0.0803415225960342,0.14007055683074,0.127664397090156,-0.127085116034541,0.132145627804143,0.0140592223278809,-0.00663658753520023,0.162627745334606,-0.0412195107934056,-0.0476891348771802,-0.0778875985480293,-0.0262471531160686,-0.0397508635952133,-0.0860458673913583,-0.0328250679372362,-0.0286534516552422,0.0285671098556032,0.10509068990675,0.071155842231578,0.0396224363695441,-0.119285898699264,-0.138209511705284
"Th1 cells",0.0297345448976342,-0.00828416242903218,-0.173393631035615,-0.12789008699897,-0.323908210597357,-0.357718069493267,0.0588826035304141,-0.0653952280473949,-0.0476706299369566,-0.210090798909255,-0.108743564663502,0.0619074118248043,-0.0527670527670528,-0.147856430707876,-0.391908034833192,-0.169099583099047,-0.121823458431663,-0.257910876812317,-0.287237039124864,-0.183963973638069,0.112646693921925,-0.059635955831608,-0.0750967658321424,-0.00262278512552797,-0.125520989870427,0.147792496052228,0.0529372016484159,-0.173431638955524,-0.0529866748030925,-0.206403991996007,-0.00698292333412945,-0.131570603080971,-0.315506329113924,-0.166570238672267
"Th2 cells",0.29904856242499,0.140715703482033,-0.00583254374608246,-0.276867342271153,-0.17080495943763,-0.211909557400424,0.0525651188761056,-0.0293441768680751,0.0595666368721844,-0.0614234705969785,-0.00601474485644144,0.0162943689121839,-0.0940344221014386,-0.256381876776423,-0.110771854933683,0.0366555447815633,0.000782888518065716,-0.127866150957599,-0.222912147653936,-0.203949406316368,0.235063434055679,-0.234886128364389,-0.0451795433060804,-0.0196204805884664,-0.0047873212196192,-0.47062735646569,-0.0156198628945836,-0.118983856226594,0.0505129638886506,0.0620918007274151,-0.0199098399808932,-0.100292119360761,-0.289464819313462,-0.525372203836448
"Tregs",0.0351243467262278,-0.0183952383133001,0.0841152175511578,0.1000413350928,-0.099730922991339,0.287616630312117,0.0986869014489891,0.100245250649997,0.0717166277321095,0.00426525834487605,-0.0755225884581067,-0.0721790256260661,-0.127994108066895,0.138043151536967,0.0922292170056415,0.0164426856657933,-0.033649640925565,-0.0223632228299274,0.0135145361240937,-0.101756052969531,0.188759466900811,0.0893099553315106,0.10748451590104,-0.071826001744114,0.0356353184639996,0.0544441847298575,-0.0680006896261015,-0.0269134513137344,0.0618804850693222,-0.15421685104314,-0.0147011670677933,-0.0763048590137687,-0.0387800371891385,-0.0719030133479267
