"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"CD8+ naive T-cells",0.734532760488124,0.420353670617635,-0.0135223712665186,-0.323044397463002,-0.318458377832623,-0.0528342174111103,-0.165142264199998,-0.190396158463385,-0.034546464067811,-0.0360805345270232,0.0380354741714354,-0.106785173715486,0.187917192162171,-0.185770750988142
"CD8+ T-cells",0.617543859649123,0.424632898214573,-0.00915539279446374,-0.212410583648929,-0.0320038668232262,-0.00445688053346099,-0.160272116357183,0.0147039088284214,-0.034507271610278,-0.358752970723963,0.19940398363668,0.536679148952637,0.0965578762804147,-0.295994210688046
"CD8+ Tcm",0.554385964912281,0.296871861050982,0.0797073044007083,-0.0966746153781417,-0.173735277040371,-0.346167405616194,-0.249959391283477,-0.158131047609748,-0.18743698770247,-0.446836734693878,0.441832951631821,0.698642401734145,0.13224030268541,0.374788255358442
"CD8+ Tem",0.039580894954761,-0.172536334612344,0.325614182436094,0.00241054624195032,-0.0420622249676687,-0.151436995187238,0.051913048651245,-0.374814742135854,-0.189440250729091,-0.0941946824813954,0.0832302098102521,-0.125238955489627,0.0426610075029594,0.017104383873744
"cDC",0.0789473684210526,-0.500474142041786,-0.22404181184669,-0.414376321353066,-0.636521739130435,-0.687986365682681,-0.469574780058651,-0.162160864345738,-0.303039158386908,-0.568367346938775,0.0397848544352429,0.317018909899889,0.0369436156141376,-0.355166572557877
"Chondrocytes",-0.745614035087719,-0.459057714936343,-0.281856364541041,-0.363226243045159,-0.0852915901789221,0.105555209134146,0.097713201266915,-0.0125102881880555,-0.173994359959543,-0.373265306122449,-0.235685928260438,-0.67741935483871,0.138825230340797,-0.608130999435347
"Class-switched memory B-cells",0.219385388678735,0.317619415181964,0.374564459930314,0.0440616593429586,-0.0194177045176137,-0.00442719965389837,-0.129186515860871,-0.313243986342947,0.152860671397802,-0.168735605202588,0.585184072890404,0.770778518034422,-0.0125543260431382,0.734303162660712
"Common lymphoid progenitor",-0.17719298245614,-0.0562644532920693,-0.138327526132404,-0.382663847780127,0.351304347826087,0.510868866165027,0.54330492392055,0.215098689941878,-0.103506721215663,-0.0733181969166358,0.114488175531461,-0.148832035595106,-0.101910240241164,-0.478260869565217
"Common myeloid progenitor",-0.610319163735343,-0.265111273432562,-0.0419670037127336,-0.163757109057146,-0.042976621162618,0.0922969077405864,-0.077916386124547,0.211592287609654,-0.28943530366125,-0.146231164330209,-0.076039666429546,-0.18693610117464,-0.0322860736330539,-0.796495704072466
"DC",-0.12280701754386,-0.364513562153919,-0.0628919860627178,-0.419027484143763,-0.573948961581122,-0.626206025651388,-0.405184074586808,-0.0369267707082833,-0.20572764465225,-0.563469387755102,-0.0248441902159993,0.569299221357063,0.0973021197276443,0.472183017981837
"Endothelial cells",-0.470175438596491,-0.723103034399701,-0.183449477351916,-0.510077519379845,0.0330434782608696,-0.0378802495337321,0.12683284457478,-0.236110444177671,-0.178258328462887,-0.0836734693877551,-0.464323066849274,-0.344605116796441,-0.217078347534529,-0.365330321852061
"Eosinophils",0.64604299693187,-0.0405517234925368,0.226739631752786,0.625695303115188,-0.333111439832512,-0.181577186955532,-0.132364911206533,-0.052818869452357,0.272892009343782,0.0924215391149451,-0.0946404559349857,0.802359304954314,0.0729009710844129,0.0355769898039428
"Epithelial cells",0.731578947368421,0.790788406433641,0.616202090592335,0.410852713178295,0.213913043478261,0.473888996076918,0.30791788856305,0.318895558223289,0.607013442431327,0.728571428571429,0.128233586613165,0.486095661846496,0.144175459103633,0.892715979672501
"Erythrocytes",-0.0123307251865302,0.142475989866166,0.144605601426422,-0.0378662163839672,0.0699378606180235,0.397430946933189,0.259543421300867,0.231494787631753,-0.0780603601114565,0.105942677342424,-0.0518458587233386,0.240250788542461,0.0538320372303835,-0.122264669912318
"Fibroblasts",-0.715789473684211,-0.624889787797179,-0.466898954703833,0.0793899106645469,-0.2,0.0230239886809441,0.0956832558321616,-0.0690996398559424,-0.207656341320865,-0.233877551020408,-0.289251259284556,-0.709311384965448,0.196776277338583,-0.70412196499153
