"","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCMmets","SKCMprimary","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM"
"CD8+ naive T-cells",0.307422003858651,-0.246648377671946,-0.0754039744167312,-0.24610957194107,0.000522247062793367,-0.116406661556646,0.117283824596054,-0.290102169201403,-0.00862467888237742,-0.277577215746042,0.279464586531696,-0.175857068238666,0.121655138549071,-0.0367248039090389,-0.0916142873034798,-0.280918066524989,-0.166356270575194,0.136662207995767,-0.0829245349838978,-0.278151126046263,0.105269119748029,-0.114774684972035,-0.162431586278316,-0.0119266436361776,-0.0139559237284242,-0.290968912326718,-0.185010464269781,-0.538523595710584,-0.244121128136469,0.0604476602184551,-0.296927402915085,-0.455005297515294,0.0855219846475274
"CD8+ T-cells",0.00200159068455135,-0.0271587389246111,-0.0146287691608475,-0.157519440427234,0.0990078324689747,-0.0821440590999028,-0.133421291133291,-0.0241843517505301,-0.111487467161403,-0.039201775799548,0.157533509167648,-0.175342934652564,0.0136527102251713,-0.0853352755633285,-0.116426850678607,-0.0172405497397178,0.0732283121055869,0.0837973207662952,-0.0392300771765839,-0.29911096516281,-0.15166602894967,-0.120653675380951,-0.148112339169029,-0.094115232767551,-0.0482075272127004,-0.22116322171085,-0.177938683288647,-0.677455242114812,-0.0749505102206638,0.121251397605963,-0.0524622565643747,0.109333763052258,-0.0209618656756068
"CD8+ Tcm",0.0522225259144415,-0.300422941502747,0.0199903615414079,-0.126289443904164,-0.155258054920311,-0.126469511542439,-0.0949101845495119,0.0575024498621831,-0.012011065722568,0.155508148934426,0.0347046250967695,-0.136358168625555,0.0144677536726481,-0.0123052091830372,-0.00416058210205974,-0.0911191551989772,0.173989267874682,0.0675403956877008,-0.202543678202355,-0.23423624636965,-0.0582812385746511,-0.0435076092369315,-0.0699968796386416,-0.096988259326879,-0.0721074049761634,-0.303018538704741,-0.0317805750204365,-0.637254570826236,0.0521823356257379,0.0464253413011438,-0.0443747473219931,0.276922788838504,0.168749698306488
"CD8+ Tem",0.154107313665288,-0.292079452334678,0.049962382574215,-0.147342372848155,-0.227655386283518,-0.0348826019017928,-0.148683505248169,-0.111520991583728,0.0302648228246403,-0.0640330781088147,-0.0689142948705935,-0.0936683707786541,-0.0461087182795758,0.045150414244735,-0.0796561509568691,-0.129755658912191,0.00640592784111211,0.0450984660286145,0.0238776643313829,0.0103474960467326,0.0534049073238057,-0.0398571521782633,0.103643562794919,-0.143860957642152,-0.0280968958131159,-0.199095750564216,-0.0400181027701413,-0.453345373989897,-0.0212356574997613,-0.0369379015972296,-0.154236200150606,0.145699528675591,0.0650080430808965
"cDC",-0.188160425098484,-0.285566058296527,0.128467358585304,-0.0206406620422888,-0.0384838149969945,-0.0977768187661497,-0.0826566506364913,-0.158853807223372,-0.0279582739086953,0.0818594336213219,-0.263599608174273,0.0240971144089863,0.0877133493282535,0.17541010834883,0.0195792621780987,0.319830422942846,0.33131025598206,0.126636546994008,-0.222497853889387,-0.0998099929017849,0.118146773314755,-0.231612190865162,-0.0365028660138524,-0.123130900535108,-0.0633563612274844,0.0145962153087847,-0.0855161017949393,-0.432057756331126,0.365447698379231,0.0715145386326256,0.130708893488581,0.264085168958055,0.0425437898820975
"Chondrocytes",-0.113027729796526,0.0650917951222211,0.181938856626623,0.0332348719217651,-0.156183216517283,-0.0780673569164849,-0.244026152815128,-0.0723117361828688,0.127878037884225,0.103928760852607,-0.0698712921765452,-0.0162958323785548,0.0494950451112823,0.17009143571219,-0.0103294319628844,0.292524896280747,0.111258780884265,0.0770512769702664,-0.12410179968631,-0.281524140439781,0.0393265293347466,-0.410699781169283,-0.116352191379827,0.022617901335488,0.0430775107028223,0.230984867844538,-0.226072587004253,0.360905704540089,0.150669608109772,0.0419421905984515,-0.148885897881241,-0.2160484721051,0.162587948703193
"Class-switched memory B-cells",-0.00536791817651779,-0.0906321835387832,-0.0179235982526327,-0.0923484580388489,-0.189237905345318,0.16828036159782,-0.310495796831717,-0.0525268443484694,0.0897127171464233,0.144221683066625,0.180681818181818,-0.0377811641680581,0.111759658648622,0.00488154766857772,-0.0654956518122793,0.125053029752398,0.237540001883187,0.115551176618411,-0.0454475396531503,-0.305138649039237,-0.0652392188198718,-0.0108624853181218,0.296567687372123,0.0226452357818926,-0.12769890265621,-0.162753658517172,0.0869837453752895,-0.777749519228082,0.255474819010611,-0.29496416967528,0.171676996413725,0.315459750981653,0.0907000122625062
"Common lymphoid progenitor",0.149163533539646,-0.218717840282246,-0.265525733941677,-0.306551857028493,-0.264864864864865,-0.0580560041685658,0.172370023928249,-0.414038417299287,-0.1037024515875,-0.183069287279224,0.0484265734265734,-0.00264336178254191,0.0254403596061908,0.110476001683656,-0.0972111675497368,-0.354477262567859,-0.222452370160078,-0.000368734159531605,-0.0309152719239301,0.00654637211959627,-0.0545979470428684,-0.026389993707481,-0.0838072719351476,0.0682431211899582,-0.0998688341844289,-0.017496650061918,-0.0181979337980186,0.143555405927755,-0.0708045545464243,0.147216544773316,-0.265930509630788,-0.273381295003945,0.276454844908354
"Common myeloid progenitor",0.0380610437831206,-0.0864606721556455,1.61713740877015e-05,-0.100389958504131,0.0603635026162355,-0.0117631933921573,-0.00897203072229304,0.0687730865338119,0.0799607581502142,-0.011392422396967,-0.0947082241775599,-0.0161349023974225,0.0606393065159331,0.0191197708420717,-0.0548391385820067,0.0876107542676537,-0.0621250542926392,0.0376607685454375,-0.0171151092373256,-0.0114709747324333,-0.0237051098591177,0.104150785898138,-0.026077469078561,-0.208381759916979,0.00557800083740431,0.103037212959399,0.0501957646801971,-0.0918377155814418,-0.0199967938845233,0.00528508050371549,-0.0534062045338468,-0.0701412863781742,0.0814747840802477
"DC",-0.0727864483569651,-0.178253409778843,0.0909610610928265,0.0182273688402228,-0.0404639511238973,-0.146700557851508,-0.0238506285092722,-0.071992638234165,-0.0232980369670168,0.0778623970794146,-0.0793572774914343,-0.0157135995887118,0.0558231506701508,0.0570103003914274,0.00618460423680803,0.248674011328353,0.372285441419917,0.282809645638702,-0.195010762426406,-0.116948800462271,0.0226473936310716,-0.277329743563006,-0.0551637761989971,-0.118156974230736,-0.0614962892138965,-0.0824485245893601,-0.045609482763977,-0.255170625636185,0.391079637217981,-0.00273467265832784,0.120065816232933,0.367414732235092,0.0339159531159509
