"","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LAML","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCMmets","SKCMprimary","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM"
"CD8+ naive T-cells",-0.105270845126372,-0.118684018341958,0.0430636622561608,-0.123757730613518,-0.147012548176333,0.0910241996231993,-0.0608655822910836,0.00814415105024297,-0.163284597933853,0.0434337782195019,-0.410238489536717,-0.0347034590842716,-0.15803819688293,0.0135921623249509,0.165746170507882,0.0920398045056923,-0.258798699591574,-0.17404527447131,0.0266181885436613,-0.206682182789237,-0.109968990394263,-0.0548655728713844,-0.14281449661232,0.132721539594894,-0.195766364774826,0.0336083513112235,-0.0762796160604256,-0.0390843085453643,-0.29554140446935,0.119080730105132,0.0861202107961829,-0.239410393674737,-0.102498376567894,-0.0485365420758045
"CD8+ T-cells",-0.0722656157731724,0.00688301956400417,0.192874073308425,0.129540898168832,0.141364825697423,-0.0885152017764279,0.143707206581405,0.0740465286680989,0.0308055805791145,0.162793818979124,-0.119410467760585,0.0467931767395892,-0.00671591098066659,0.207013261988709,-0.0410040973207659,-0.117789847276637,-0.050317938460708,-0.0884218156835744,-0.0257645811512634,-0.0308354950819405,0.12066907325254,-0.0576167926211051,0.0473989996518806,-0.144946471631336,-0.0777156188291206,-0.038950534621553,0.0489696300634831,0.00271696111515944,-0.326996713008271,0.210547235436526,-0.117098703888335,0.0801724799577498,0.319973102108145,-0.0740989133261362
"CD8+ Tcm",-0.0733675029552205,0.213738568617011,0.196898146521091,0.211062512030655,0.021441628216948,-0.135063467283937,0.0975690241641568,0.191295107856093,-0.0680907296538732,0.223316065756903,0.0400879999293153,0.0755082015359495,0.0576767113799238,0.22947227764231,-0.0598679661471587,-0.000409672042552881,-0.0746391220487219,0.0444811598587287,0.0433165582553154,0.136566783405926,0.203526854865959,0.00571613802020187,0.146107774325676,0.0167603223673787,-0.113722324991812,-0.0652637683914271,-0.00258261836025252,0.103150949488626,-0.31170846095298,0.258751254179202,-0.0750391682096568,0.125704972590666,0.114070962840218,-0.156563702644706
"CD8+ Tem",0.044829245799918,0.114017535937448,0.0992380677370611,0.136965083346297,-0.00143097671378212,-0.185043739401338,0.191916429605912,0.0925995245118402,0.074717441616904,0.0862512252502345,0.190605684039822,-0.0199338059610791,-0.0513819186659437,0.068933371306667,-0.0113412581553874,-0.0367237337520914,-0.0780834908123548,-0.00212743640625204,-0.118913302792766,-0.0329378675074263,0.0331768280558423,-0.153517223054467,0.0327925578234394,-0.0589256692983866,0.00927410393236591,-0.10007022440581,0.0423059652302068,-0.0223501311980215,-0.208682819992658,0.105630443709114,-0.317105402292176,-0.00163694976352994,0.0771063657547014,-0.280709725014252
"cDC",-0.0327409931840312,0.117580421547495,0.23933471312828,0.209144106817929,-0.104382521613922,-0.0941713440876396,0.0936570585726693,0.00459224752703014,-0.122139702687435,0.0949724118896476,0.0336360359624367,0.116273111182844,-0.015842204887694,0.0351249780786316,-0.0183184383803053,-0.0175701505104408,0.0440490604744355,0.0763672018512775,0.0454738876919598,-0.0494006679459204,0.34090259863922,0.13866819131414,0.318006506177911,-0.161723787914975,-0.0245746925904511,-0.0225194999617656,0.187212195576228,-0.0220766310265293,-0.0423427018163045,-0.0387806547252252,0.0491382993875516,0.193504695775151,0.0274099010617782,-0.0661521652522166
"Chondrocytes",0.0963666147265287,-0.085344134019039,0.178137037895184,-0.145656546555289,0.0736985454934619,-0.0999504471970015,0.236564250203282,0.0168939160011894,0.103105492653526,-0.107027047253054,-0.0630033159049027,-0.317934579454341,-0.193931537639544,-0.0613101960258361,0.0177194045359482,0.0281745222558922,0.0953466423074955,-0.0792161224730836,-0.0210323249825263,-0.167780997779089,0.0380193059188324,-0.0523806539615137,0.0939518789177527,-0.13805007049608,0.283344980039161,0.0851227999057185,0.334027969770173,-0.0356384012399921,0.229028397727264,-0.144537204702223,-0.150673931445551,-0.0294357302349993,0.136144367446883,0.102411493170003
"Class-switched memory B-cells",-0.0845931011229494,0.0987519908331187,-0.000673357929921111,0.175056045664716,-0.233264683323616,-0.228052540977397,-0.0120810702090053,0.118787850998937,-0.111468793237412,0.200746883346061,0.167637321221996,-0.00558267134323352,-0.0677448329778201,-0.0648577523181225,-0.156948323461677,-0.17133537187926,-0.0318712283356221,-0.0532307109475187,-0.082345495228554,0.0164138353876837,-0.0408706962832309,-0.0512537291257955,-0.0337078560512134,-0.227577972940951,-0.106941389098003,-0.0730660093435982,-0.0130428596063428,0.0917602485228968,-0.414800592534424,0.0228082212233126,0.23374204839456,0.201896882279113,0.18115178792469,-0.0304715064896935
"Common lymphoid progenitor",0.180574488802337,0.0197118195697826,-0.343321147880809,-0.0126683979873397,-0.313256113256113,0.10620625687258,0.122996800508825,-0.119174143087187,-0.00232754470366419,0.108373393493574,-0.188201357106483,-0.173136137010627,-0.0316834573624114,-0.130275072498873,-0.00926879805616981,-0.134655051162348,-0.209564991812748,-0.00519579168356514,0.0150824088565025,0.0784329902420606,-0.296885008916051,-0.00908153597497132,-0.0504894029054768,0.175943921495654,-0.0881195758770753,0.0188655881903295,-0.123620267228472,-0.10919144102019,0.127853562442918,0.0024372221548602,-0.139303518017376,-0.120159704901667,-0.346690818417304,0.00457478084550034
"Common myeloid progenitor",-0.123040781889027,0.0519192439182012,-0.102986737854587,0.0414497041827673,0.0924537018993397,-0.053279512309344,0.0757320598648023,0.0701866672962852,-0.0611654198351711,-0.0445362467318662,-0.015695305372026,-0.00555202444214191,-0.0253915827581583,0.0539790523400921,-0.0906807520559983,0.0195165801301714,-0.0356189078641607,-0.0497391965221207,0.0224958039753065,0.050768496263856,0.0322663754602406,0.137561403518194,-0.0942678871708646,-0.10213781085719,0.139458157993806,-0.0448347375997867,-0.0260361509612066,-0.0860278016526459,-0.107042524690852,0.0102522122678493,-0.0736707453118452,-0.0281913389653489,0.0349618407800206,0.0811374857723431
"DC",-0.116112826290458,0.0898182334339504,0.296864313102687,0.204996689677895,-0.0373711650507332,-0.235624767020459,0.0339420543967291,0.0168866650040352,-0.0941789578271481,0.0669068855504568,0.0700669017826705,-0.0788031814251858,0.0681543614189488,0.0291914570544657,0.0132692544641886,-0.143325704731604,0.0272291763603753,0.0563945692224631,0.168909757294019,-0.0366960728780527,0.180306617637523,0.0984735671406118,0.158425415645792,-0.184361928952349,-0.079346065967464,-0.0591111166935693,0.143820345706581,0.0119636663948689,0.0575241545032861,0.0161208333323347,0.112512462612164,0.202590182785548,0.120608104551672,-0.114720359824725
