"","KICH","KIRC","KIRP","THCA","LUAD","BRCA","LUSC","PRAD","COAD","LIHC","STAD","HNSC","BLCA","UCEC"
"Class-switched memory B-cells",-0.0844670146516198,0.0120018615617401,0.103349212688697,0.157397520540837,0.158773872889518,0.0870515184169005,0.0138257318914092,-0.140162822501161,0.182404181184669,0.0629408662535245,0.379456749366351,0.438639467689838,0.13304093851602,0.360212808634712
"Memory B-cells",0.0404960331236558,-0.020848574446062,-0.24301425742556,0.102024910548094,0.185442340350511,-0.0192942646205993,0.0373083162794491,-0.093711130900462,0.200522648083624,0.0798148346357721,0.417400093524248,0.00827528565569196,0.00273424149537379,-0.196706257492816
"naive B-cells",0.0606587386347854,0.0782177880092501,0.0623014258686547,0.0132461059670069,0.166040068912033,0.00729587638057067,-0.238078105631885,-0.156867319764984,0.326840274093283,-0.147653123473366,0.0531426291693798,-0.181715412601396,0.192890493145881,-0.499856706745396
"NK cells",-0.049515146519915,0.14543267925601,0.0184144398989322,-0.0489620270915616,-0.201007336786488,-0.107577338705936,0.0646638007239217,-0.0981922628922577,0.013988559103479,0.0582309117994997,-0.211900616247292,-0.0535212952718228,-0.134689459729792,-0.109102768732091
"NKT",0.123582053456753,-0.0860843558396784,-0.455994939245604,0.157833215417269,0.0937463471654004,-0.0644587131545678,-0.0262244897959184,0.118244685392299,0.140592334494774,-0.0911011866085604,0.0509454949944383,-0.425792811839323,-0.573684210526316,0.0852625635234331
"Plasma cells",-0.0933169458936416,0.422051765365652,0.448053124129187,0.204651019717617,0.174271308086618,-0.11218310029167,0.00467362548403638,-0.10018996395102,0.154529616724739,0.282785114045618,0.538530400723811,0.0187455954897815,0.0166739814208774,0.32398224099521
"pro B-cells",0.237419285493976,0.470433708809936,0.384308724068044,-0.0692161930880203,0.045603007390204,0.0641243755060438,-0.217345351459089,-0.0547722228740422,0.118216128327308,-0.151095513435238,0.187390317514127,0.12227915478217,0.250638803742598,0.352407425233567
"Tgd cells",0.105826489620995,0.345839768137766,0.212540320732059,-0.0449148013526113,-0.0988521525778633,0.0240781958790512,-0.0574774878441492,0.233538872719617,-0.171440134796244,0.0315426821826011,-0.431839090278134,-0.186064038050541,0.0735555835398898,-0.433904787047156
"Th1 cells",-0.437391304347826,-0.309955624155894,-0.453445747800587,0.105232397182319,0.0880771478667446,-0.0566238605362965,0.0342857142857143,-0.399129172714078,0.0773519163763066,-0.250132052821128,0.138598442714127,0.080338266384778,0.319298245614035,0.585544889892716
"Th2 cells",0.305343403539476,0.163404940920567,0.398412734157928,0.248248435840727,0.131329220991006,0.0244382776088778,-0.00344358377964466,-0.149240824387596,-0.257142857142857,0.208435534040744,0.177308120133482,0.348660171326401,-0.449122807017544,-0.569780924709923
