"","STAD","UCEC","BLCA","BRCA","KIRP","KIRC","KICH","COAD","PRAD","THCA","LIHC","LUAD","LUSC","HNSC"
"Memory B-cells",0.687548830445938,0.15662504515102,0.0783815895340488,-0.324652042633126,-0.322729125307193,0.0110172598680344,0.0642654438701494,0.345470383275261,-0.182267229059838,0.00232167938036119,-0.161908613284506,0.0726569169570034,-0.306232307859991,-0.0024680676516976
"naive B-cells",0.142719287943968,-0.302404413333514,0.267079144355835,-0.0289593083410892,-0.283645622122509,-0.167653990630028,-0.127004234016582,0.334052572929572,0.0619482561735085,-0.0560845763283909,-0.0641210759254054,0.135638366153492,-0.271584992304986,-0.291568012985626
"NK cells",-0.252262638389633,0.414471931215933,-0.123307251865302,-0.14924152472974,-0.168668433542347,-0.0407026328084278,0.312139600120641,0.0689237614105189,-0.0225921321068131,-0.0254839294801613,0.032054166037214,-0.139780964087155,0.205767574010918,-0.016804058128221
"NKT",-0.187986651835373,-0.250141163184641,-0.528070175438596,-0.113793276321039,-0.024940131370984,0.0410473979076535,-0.468194374565547,0.0402439024390244,-0.577648766328012,-0.112614968162663,-0.387504203871626,-0.040385739333723,-0.174897959183673,-0.308668076109937
"Plasma cells",0.810245491246163,0.66821337205262,0.215006602532366,0.373922092854737,-0.227342744726734,-0.277938126850269,-0.137334373201963,0.243554006968641,0.248575270595138,-0.131686609861884,-0.22593037214886,0.0574792794162597,-0.0470478298726329,0.296124031007752
"pro B-cells",0.554954959569515,0.56267282207367,-0.00729131065433012,0.231052103928641,-0.138911207069657,-0.142049254880443,-0.245392321200864,0.0112070335723136,-0.0998787593585475,-0.0109455223073378,-0.071712105830285,-0.0637092207491203,-0.0487771745848779,-0.184865196496991
"Tgd cells",-0.418448730889665,-0.17703315311524,0.119952182388128,-0.277360413232949,0.00336771634962769,-0.0946811065198092,-0.142234685591521,-0.403121695419352,0.152012254141627,-0.00834442997665639,0.398651377966175,0.0975209253849984,-0.0288288340284134,-0.130621474485683
"Th1 cells",0.646273637374861,0.284020327498588,0.208771929824561,0.249796205257368,0.329178885630499,0.496720046305229,0.339130434782609,0.109407665505227,0.572697003329634,-0.333538404749454,-0.295654261704682,-0.25791934541204,-0.11469387755102,-0.360253699788584
"Th2 cells",0.319243604004449,-0.264520650847205,-0.598245614035088,0.043973781630038,0.0971554682540127,-0.230838103111799,-0.348062353478226,-0.0893728222996516,-0.301254192392261,0.00813574313097958,-0.266468163460566,-0.0805169670906487,-0.409683676232054,-0.0791255485898508
"Tregs",0.0150841523843218,-0.0172657530087738,0.119390902102972,0.0161139855234781,-0.287128310525104,-0.113901997082446,0.153432039995098,-0.0911193053909156,-0.0401770040336453,0.105815746961224,0.114474245271684,0.356910251231358,0.276659101076662,-0.0210171641760756
