"","UCS","THCA","LUSC","LUAD","ESCA","MESO","LGG","GBM","BRCA","PCPG","SKCMmets","KIRP","KIRC","SARC","OV","STAD","READ","COAD","UVM","THYM","HNSC","ACC","PRAD","DLBC","CHOL","LIHC","SKCMprimary","UCEC","CESC","PAAD","KICH","BLCA","TGCT"
"Memory B-cells",-0.184927827943283,0.0815161943617496,0.218304093707272,-0.0457808020773294,0.170615600728728,0.0180587183348479,0.0593888003045126,0.230745706870485,0.104951968385692,0.0564103446602736,-0.0340769056675765,0.0897245841843796,0.0885152036641589,-0.0307921271620706,-0.0823931860207851,0.0413733615339538,0.150321494774204,0.114553669789695,0.0915850818871217,-0.235959716422063,0.269098065705802,-0.0272004778680657,-0.0537998664922827,-0.173135869797813,0.178249680357761,-0.023422899436754,0.0838309735471767,-0.0959340166105721,0.00576306698697277,-0.130704087335804,0.108143405232095,-0.10931862145427,-0.395180740547366
"naive B-cells",-0.0254156146589738,-0.00938618049165391,0.128210273595995,0.0546599510354393,-0.0139849290282225,-0.0672026182327749,0.0193746267865442,0.00903038554735256,0.0109209335242349,0.0424684892473654,0.00333825449811193,0.0230640455156372,0.042750103906824,-0.200352158644235,0.0146707296899821,-0.0394331288468122,0.193415715192613,0.0370660024684543,0.153862973249638,-0.163040086959629,0.11717927827784,-0.122269440425153,0.0159386248562208,-0.276415655636129,0.0902217069386153,-0.00149260085429228,-0.00304081330794748,-0.0739701335145365,-0.0203252253549969,-0.187837289144018,-0.324201791474617,0.0462930157420394,-0.776612010651203
"NK cells",0.181709501068305,0.068728135243786,-0.0124383899009051,-0.0628997321269279,-0.0233151529612687,-0.0222176636609792,-0.0206210984183384,0.0281977688841146,0.107316884876215,0.0949736282817172,-0.106382083498732,0.00636196384660746,0.0119756662272749,-0.0581127124621047,0.116882780299592,-0.106198657953712,-0.0228306645072819,0.0326740780699664,-0.131334475617518,-0.101836404543336,-0.19474211814777,0.157571326919312,-0.0362324785810042,0.122414109766257,0.249228450130964,-0.00883910299091838,-0.117520437516644,-0.0367263335758353,-0.0929404360790136,-0.077098496781189,0.0362911537128257,-0.0637305893425589,-0.298294532978849
"NKT",-0.45486081450275,0.10980712570724,0.100589259727557,0.251869825370312,0.282214745801702,0.0994731305751798,0.11199316781745,-0.0444963935155869,0.0401447874476847,0.0257438455090141,0.0795249198586522,-0.068716367465207,-0.159146181691384,-0.0576971906988745,-0.0210322591164689,-0.008966525335246,0.172011583472653,0.344880615592311,-0.159928951951086,-0.060098704592783,-0.271472813786878,-0.189430406369397,-0.200907468309845,-0.0489047290992874,-0.0707850707850708,-0.112528170288365,-0.0819430868463826,0.0751600452743146,-0.0984146988286573,-0.020928913973096,0.0116695804195804,-0.0527761922611507,-0.147635257297473
"Plasma cells",-0.105914318441958,-0.153212129755048,0.132230086335386,-0.085140571764232,0.54711113349077,0.0625290991699148,0.120251517458116,0.110536268531889,0.0545980235096241,-0.0558134868024113,-0.0109644405854086,0.185290493315962,0.0424949803494297,0.000653525361700758,-0.176270268948491,0.268176522036504,0.225600071650346,0.184757635786731,0.0328173833542401,-0.226372499453821,0.293132637540396,0.199539457285865,0.310428860895754,0.0786633114594802,-0.0676962676962677,0.00223129846707211,-0.158197054407626,-0.0292467848528405,0.103556989115956,-0.0333736938298772,-0.0480332167832168,0.17249230287014,-0.172536404987538
"pro B-cells",-0.531827269853279,0.0129748079598611,-0.198019648009294,-0.514318939531599,-0.177482990602386,0.117219833558659,-0.0999616725307941,0.0313782634966936,-0.0515763223770808,0.0742778999229362,-0.0743632082408361,-0.0433661295354273,0.0286898789160977,0.098476571021513,0.0179036990151633,0.0355565801431523,-0.114822679458945,-0.0884186295033283,0.0632937115275367,0.0894446165565772,0.0551795407384221,0.30323752934078,-0.049811923485342,-0.0225924531521317,0.0934278808285971,-0.352284959206689,-0.0709295252723676,-0.292151526074501,-0.200168312578307,-0.159095011762097,-0.474926610160428,-0.334879610300611,-0.674935471611556
"Tgd cells",NA,-0.0230879945898499,-0.045384339263555,0.123202948637564,-0.214300358106775,-0.0278607417187169,0.0631383732755968,0.0403504934119378,-0.0357555384136972,-0.0536643720879666,0.0726392102387872,0.019347377214144,0.0799717420850266,0.121429701282216,0.0115058272520178,0.00596354316088284,0.0959217106850044,-0.0944355131743415,-0.215977433172264,-0.0360098517384457,-0.0482051444294933,0.0538882124749552,0.0290108656788891,NA,0.213641283559229,0.0794207421946778,-0.11033558728449,0.126641655945568,0.0626652626793714,0.0916345367208379,0.271634683975155,0.0862856022457167,-0.237345912896051
"Th1 cells",-0.125771117091451,-0.134529654385162,-0.301301047307775,-0.466111913678315,-0.325235794801012,0.0495900170959812,0.06222829213934,-0.00794779854222492,-0.0993854892193589,0.0124262581018325,-0.0543402725386063,-0.120620988711123,0.0567628781747698,0.0541199172532667,-0.0301776411795319,0.035484173604617,-0.0997462383568187,-0.0232458059065562,-0.00556744442015384,-0.00583254402908985,-0.194763684084056,0.19147930948647,0.117179269513735,0.150434010092886,-0.157528957528958,-0.339809464276902,-0.333362620968805,-0.282639270315301,-0.416482758318752,-0.102168850954796,0.0141171328671329,-0.497544807495164,-0.3688200601005
"Th2 cells",-0.113809190194166,-0.102455235668937,-0.324255248289545,-0.612618587000473,-0.430840234644582,-0.0452335240436495,-0.134877469052214,0.0108462080919749,-0.012346234579791,0.0831648185893203,-0.0547138598434966,-0.0928904248187002,-0.0682450391880285,-0.0338157570017663,-0.145568177580021,-0.0882725184532835,-0.0589383807021734,-0.0445801123440919,0.182620490381009,0.0901353414540935,-0.0578706483182096,0.170584717959243,-0.262782610939657,0.0932690862575895,-0.330861855542099,-0.315459941345828,-0.139689620887969,-0.232891845333925,-0.264751136686537,-0.0985456844524833,-0.111228948935185,-0.53006400910265,-0.501554882230452
"Tregs",0.188878905254429,0.316278598207895,0.187510706938188,0.0743605825208059,0.247534873680472,0.19947338398329,-0.129321782825371,-0.113096653019122,-0.036213862898121,0.0712605395477502,-0.102088517008804,0.00108417388666671,-0.0149000285436853,-0.0223229230242024,-0.0274369693947733,0.0591796838740562,0.110856183414822,0.014070140173899,0.06489634635868,-0.0761417805560513,0.0479089797493385,-0.234936783110771,-0.0956366698116972,-0.0370548387370012,-0.403787728291037,0.00844530428622878,-0.14768930042803,-0.0487612569007597,0.0130515639435482,-0.131189436349212,-0.236206961068672,-0.196627376483675,-0.0745428343286057
