"","ACE2","TMPRSS2","Cancer","Sample.type"
"TCGA.19.4065.01A",2.95441967813292,2.29292895549713,"GBM","Tumor"
"TCGA.19.5960.01A",1.96974912828866,2.40394936423286,"GBM","Tumor"
"TCGA.20.1682.01A",4.81927740979358,6.71982628986166,"OV","Tumor"
"TCGA.20.1683.01A",1.85452146712177,2.08859682119876,"OV","Tumor"
"TCGA.20.1687.01A",5.35702462045371,4.93914358229774,"OV","Tumor"
"TCGA.21.1070.01A",8.78792540732202,9.03155785644139,"LUSC","Tumor"
"TCGA.21.1071.01A",6.55272903246806,6.18189565592377,"LUSC","Tumor"
"TCGA.21.1072.01A",8.63050740248737,3.43800002397664,"LUSC","Tumor"
"TCGA.21.1075.01A",6.77354804977797,5.15947580252364,"LUSC","Tumor"
"TCGA.21.1076.01A",6.08608525863528,8.26508990837204,"LUSC","Tumor"
"TCGA.21.1077.01A",5.07519887307051,8.28288918715266,"LUSC","Tumor"
"TCGA.21.1078.01A",5.5185068135397,9.44741595846992,"LUSC","Tumor"
"TCGA.21.1079.01A",4.23371169955497,3.16727763303746,"LUSC","Tumor"
"TCGA.21.1080.01A",5.36398753201842,10.4521485589716,"LUSC","Tumor"
"TCGA.21.1081.01A",6.14645564853469,7.67117304850952,"LUSC","Tumor"
"TCGA.21.1082.01A",7.86251958172781,8.26974384289494,"LUSC","Tumor"
"TCGA.21.1083.01A",4.31733301460124,4.74680719713056,"LUSC","Tumor"
"TCGA.21.5782.01A",6.18314704021864,8.519813139211,"LUSC","Tumor"
"TCGA.21.5783.01A",2.69681733907799,5.02731331964252,"LUSC","Tumor"
"TCGA.21.5784.01A",7.76507720158379,10.6428910647165,"LUSC","Tumor"
"TCGA.21.5786.01A",3.23207742172999,5.54731717703393,"LUSC","Tumor"
"TCGA.21.5787.01A",5.57260473832395,6.90639759057639,"LUSC","Tumor"
"TCGA.21.A5DI.01A",6.47753324512543,5.76524034288965,"LUSC","Tumor"
"TCGA.22.0940.01A",7.71291212625268,7.69480359981312,"LUSC","Tumor"
"TCGA.22.0944.01A",4.84543986937457,8.11880613810034,"LUSC","Tumor"
"TCGA.22.1000.01A",7.24560024072928,11.034468851591,"LUSC","Tumor"
"TCGA.22.1002.01A",5.99080287036634,10.466555750221,"LUSC","Tumor"
"TCGA.22.1005.01A",6.31799861786144,9.82644679595085,"LUSC","Tumor"
"TCGA.22.1011.01A",7.8626497544554,10.552304055253,"LUSC","Tumor"
"TCGA.22.1012.01A",3.82065892976609,7.93705007871138,"LUSC","Tumor"
"TCGA.22.1016.01A",6.78058569677058,10.4167975276061,"LUSC","Tumor"
"TCGA.22.1017.01A",5.90833737395372,10.9326650624276,"LUSC","Tumor"
"TCGA.22.4591.01A",6.54115548385214,8.01326683509124,"LUSC","Tumor"
"TCGA.22.4593.01A",2.35909943253201,3.49258387670166,"LUSC","Tumor"
"TCGA.22.4593.11A",5.50054395069018,11.516876967611,"LUSC","Normal"
"TCGA.22.4594.01A",6.85562848016369,9.79228599482683,"LUSC","Tumor"
"TCGA.22.4595.01A",5.24365384973105,8.39996999572211,"LUSC","Tumor"
"TCGA.22.4596.01A",7.92207888776625,10.4429227673228,"LUSC","Tumor"
"TCGA.22.4599.01A",5.61889641216309,4.34364943571691,"LUSC","Tumor"
"TCGA.22.4601.01A",4.85274297190405,8.09472695031326,"LUSC","Tumor"
"TCGA.22.4604.01A",3.64491762276538,6.81782788059395,"LUSC","Tumor"
"TCGA.22.4605.01A",6.25708795726361,9.53589159853959,"LUSC","Tumor"
"TCGA.22.4607.01A",7.47414397015867,8.98453523689148,"LUSC","Tumor"
"TCGA.22.4609.01A",5.66712005980658,10.3146965256563,"LUSC","Tumor"
"TCGA.22.4609.11A",7.61277268294452,12.4988292658958,"LUSC","Normal"
"TCGA.22.4613.01A",3.20080250388431,7.56102821758367,"LUSC","Tumor"
"TCGA.22.5471.01A",8.45814819695243,9.00858268807157,"LUSC","Tumor"
"TCGA.22.5471.11A",5.86350736106313,12.0191354709608,"LUSC","Normal"
"TCGA.22.5472.01A",6.92099589501408,11.1149200596301,"LUSC","Tumor"
"TCGA.22.5472.11A",5.94088556923262,11.546614765958,"LUSC","Normal"
"TCGA.22.5473.01A",4.8987501080693,7.63520297445213,"LUSC","Tumor"
"TCGA.22.5474.01A",7.38862868620905,8.16233090047396,"LUSC","Tumor"
"TCGA.22.5477.01A",5.67495208754203,6.73764620531956,"LUSC","Tumor"
"TCGA.22.5478.01A",4.88683787727587,8.15705887292017,"LUSC","Tumor"
"TCGA.22.5478.11A",6.03539517165306,11.7763261012555,"LUSC","Normal"
"TCGA.22.5479.01A",5.79130356888712,6.97173896554228,"LUSC","Tumor"
"TCGA.22.5480.01A",5.24263299044665,11.6162639522998,"LUSC","Tumor"
"TCGA.22.5481.01A",1.94339627376167,5.92976259793039,"LUSC","Tumor"
"TCGA.22.5481.11A",6.18583087383911,12.172002388552,"LUSC","Normal"
"TCGA.22.5482.01A",6.83473649409183,5.24668170208601,"LUSC","Tumor"
"TCGA.22.5482.11A",5.5281712093096,11.0772229672975,"LUSC","Normal"
"TCGA.22.5483.01A",4.41009683533999,8.22381348431056,"LUSC","Tumor"
"TCGA.22.5483.11A",7.15244710467972,12.5716578509649,"LUSC","Normal"
"TCGA.22.5485.01A",5.89517899801421,8.11973485553804,"LUSC","Tumor"
"TCGA.22.5489.01A",4.72733781477942,9.29195343397636,"LUSC","Tumor"
"TCGA.22.5489.11A",6.36538284517318,11.7434964549247,"LUSC","Normal"
"TCGA.22.5491.01A",9.80942409132633,8.89183533559057,"LUSC","Tumor"
"TCGA.22.5491.11A",6.46807170163736,12.4180423306931,"LUSC","Normal"
"TCGA.22.5492.01A",7.37167211321228,9.31102167663362,"LUSC","Tumor"
"TCGA.22.A5C4.01A",10.8785261112524,8.28696891153057,"LUSC","Tumor"
"TCGA.23.1023.01A",5.39089873566041,7.18083026280328,"OV","Tumor"
"TCGA.23.1026.01B",3.45455320843968,4.02035022475757,"OV","Tumor"
"TCGA.23.1027.01A",3.1908701752749,2.85695568406227,"OV","Tumor"
"TCGA.23.1029.01B",6.75654129063695,3.53250893231421,"OV","Tumor"
"TCGA.23.1109.01A",1.60446910310381,3.41263064029438,"OV","Tumor"
"TCGA.23.1111.01A",3.78021505079154,6.27998697771356,"OV","Tumor"
"TCGA.23.1114.01B",2.89972472392119,5.70131424393445,"OV","Tumor"
"TCGA.23.1120.01A",6.10488793836629,5.61869945525949,"OV","Tumor"
"TCGA.23.1122.01A",4.75384151829545,5.97612522457495,"OV","Tumor"
"TCGA.23.1123.01A",3.19356449059236,4.74209316546088,"OV","Tumor"
"TCGA.23.1809.01A",2.10249959076184,2.57776184426177,"OV","Tumor"
"TCGA.23.2077.01A",3.71397093367945,4.7911672520494,"OV","Tumor"
"TCGA.23.2078.01A",2.94211491775315,6.76501068243454,"OV","Tumor"
"TCGA.23.2084.01A",4.4755666209211,1.85246460449699,"OV","Tumor"
"TCGA.24.1103.01A",6.05182844030336,7.94469179813264,"OV","Tumor"
"TCGA.24.1413.01A",6.1772562776273,6.06960083933868,"OV","Tumor"
"TCGA.24.1416.01A",5.09706108451132,9.25488319401729,"OV","Tumor"
"TCGA.24.1417.01A",5.1434267389108,3.50757232724623,"OV","Tumor"
"TCGA.24.1418.01A",2.23742517306701,3.78988741369073,"OV","Tumor"
"TCGA.24.1419.01A",4.80541413990308,4.34000732419162,"OV","Tumor"
"TCGA.24.1423.01A",5.22997855143041,8.73058690639495,"OV","Tumor"
"TCGA.24.1424.01A",5.25134536032567,7.45816532758711,"OV","Tumor"
"TCGA.24.1425.01A",5.11817075008539,2.28694483920753,"OV","Tumor"
"TCGA.24.1427.01A",2.39899966104216,5.12254063095053,"OV","Tumor"
"TCGA.24.1428.01A",6.08486302471781,2.58392908357582,"OV","Tumor"
"TCGA.24.1430.01A",3.89322827316941,4.1268354893141,"OV","Tumor"
"TCGA.24.1434.01A",2.89799326289631,5.01066318088616,"OV","Tumor"
"TCGA.24.1435.01A",3.66216463419895,5.53407000260636,"OV","Tumor"
"TCGA.24.1467.01A",3.66937021006482,6.92957968611779,"OV","Tumor"
"TCGA.24.1469.01A",3.80493225516221,4.69811679336991,"OV","Tumor"
"TCGA.24.1474.01A",5.93321465184031,7.27225219834566,"OV","Tumor"
"TCGA.24.1544.01A",2.94137226065379,6.43569780653412,"OV","Tumor"
"TCGA.24.1546.01A",4.10060283903314,2.69702634592109,"OV","Tumor"
"TCGA.24.1549.01A",7.52201828152534,3.90832842090122,"OV","Tumor"
"TCGA.24.1550.01A",3.96848131310473,6.9081831550822,"OV","Tumor"
"TCGA.24.1551.01A",3.78184262558674,5.65635408418828,"OV","Tumor"
"TCGA.24.1552.01A",2.29262371007476,5.15200951474785,"OV","Tumor"
"TCGA.24.1553.01A",3.28097202668604,3.93341327264769,"OV","Tumor"
"TCGA.24.1557.01A",3.76218948391204,5.59321707923567,"OV","Tumor"
"TCGA.24.1558.01A",3.32500128993897,8.50543328442498,"OV","Tumor"
"TCGA.24.1560.01A",3.57011547222308,2.60843900216507,"OV","Tumor"
"TCGA.24.1562.01A",3.49921988558047,4.24840375389293,"OV","Tumor"
"TCGA.24.1563.01A",4.26981937910055,4.10814849083804,"OV","Tumor"
"TCGA.24.1567.01A",4.07331739423702,9.93218830281552,"OV","Tumor"
"TCGA.24.1603.01A",5.38549540104169,4.11108182449608,"OV","Tumor"
"TCGA.24.1604.01A",4.98494213181142,3.38240738198639,"OV","Tumor"
"TCGA.24.1616.01A",3.15137848121824,7.54689808836672,"OV","Tumor"
"TCGA.24.1842.01A",2.86267265015251,4.13555767991698,"OV","Tumor"
"TCGA.24.1843.01A",3.97245666430265,5.33613120027944,"OV","Tumor"
"TCGA.24.1844.01A",3.7513810048933,8.53762194083042,"OV","Tumor"
"TCGA.24.1846.01A",4.81289675972723,4.29354361017148,"OV","Tumor"
"TCGA.24.1847.01A",4.71443841715501,3.68617002493395,"OV","Tumor"
"TCGA.24.1850.01A",3.19305558480489,7.96694035689288,"OV","Tumor"
"TCGA.24.1924.01A",5.49741324395463,5.67810651150867,"OV","Tumor"
"TCGA.24.1928.01A",2.54444181462068,5.1926297195407,"OV","Tumor"
"TCGA.24.1930.01A",3.75343116983799,4.54285450029367,"OV","Tumor"
"TCGA.24.2020.01A",3.09680152030064,9.54806608363594,"OV","Tumor"
"TCGA.24.2023.01A",2.61748934915886,6.33135832536263,"OV","Tumor"
"TCGA.24.2024.01A",3.73800595178879,5.40335595106355,"OV","Tumor"
"TCGA.24.2026.01A",5.17651797040419,1.61829285791328,"OV","Tumor"
"TCGA.24.2027.01A",2.78871800834019,8.34402216045386,"OV","Tumor"
"TCGA.24.2033.01A",2.07264682229287,2.2833022338132,"OV","Tumor"
"TCGA.24.2035.01A",5.9477846921859,1.61829285791328,"OV","Tumor"
"TCGA.24.2036.01A",3.60332368106728,6.79094141949651,"OV","Tumor"
"TCGA.24.2038.01A",4.37044220983198,4.55317621636975,"OV","Tumor"
"TCGA.24.2254.01A",2.98452878744825,5.41281285722417,"OV","Tumor"
"TCGA.24.2261.01A",2.87678626184855,2.6756319339035,"OV","Tumor"
"TCGA.24.2262.01A",4.48102346353347,4.42186095736949,"OV","Tumor"
"TCGA.24.2267.01A",4.83820977330528,2.47853935924747,"OV","Tumor"
"TCGA.24.2271.01A",4.12417343835122,1.97851349907846,"OV","Tumor"
"TCGA.24.2281.01A",3.6561621513239,5.23849823767674,"OV","Tumor"
"TCGA.24.2288.01A",4.18633863109871,6.93298246553228,"OV","Tumor"
"TCGA.24.2289.01A",6.66343181963384,5.68371002912196,"OV","Tumor"
"TCGA.24.2290.01A",2.6404773047892,6.97188648021982,"OV","Tumor"
"TCGA.24.2293.01A",5.81513271716752,3.68735692435844,"OV","Tumor"
"TCGA.24.2297.01A",6.09515076369847,7.99982756594846,"OV","Tumor"
"TCGA.24.2298.01A",5.8619784002887,5.65937830783818,"OV","Tumor"
"TCGA.25.1312.01A",2.33445940211116,6.96665005356115,"OV","Tumor"
