"","Gene","Clinical.feature","Sample.type","Sample.total","Sample.total.wData","Group1","Group2","Group3","Group4","Group5","Group1.samples","Group2.samples","Group3.samples","Group4.samples","Group5.samples","Group1.isNA.samples","Group2.isNA.samples","Group3.isNA.samples","Group4.isNA.samples","Group5.isNA.samples","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"46","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","IV-I",-0.10872988620954,-0.331751792350453,0.114292019931374,0.672314229866749
"47","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","Normal-I",1.81952005478373,1.58629378626117,2.05274632330629,6.07702776989072e-12
"48","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","III-II",-0.0230273380794976,-0.196989096830781,0.150934420671786,0.996370760133873
"49","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","IV-II",-0.0464161194434967,-0.267133703616494,0.174301464729501,0.978896546461603
"50","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","Normal-II",1.88183382154977,1.65081007023101,2.11285757286854,6.07702776989072e-12
"51","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","IV-III",-0.023388781363999,-0.252372534493338,0.20559497176534,0.998681478116393
"52","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","Normal-III",1.90486115962927,1.66592752677816,2.14379479248038,6.07702776989072e-12
"53","TMPRSS2","stage","Tumor",10730,7327,"I","II","III","IV","Normal",1993,2142,1675,809,NA,7,3,4,8,NA,"stage","Normal-IV",1.92824994099327,1.65339936456536,2.20310051742118,6.07702776989072e-12
"54","TMPRSS2","grade","Tumor",10730,4751,"G1G2","G3G4","Normal",NA,NA,1871,2172,708,NA,NA,13,20,0,NA,NA,"grade","G3G4-G1G2",-0.244075671599611,-0.400232159857951,-0.0879191833412707,0.000732852808168483
"55","TMPRSS2","grade","Tumor",10730,4751,"G1G2","G3G4","Normal",NA,NA,1871,2172,708,NA,NA,13,20,0,NA,NA,"grade","Normal-G1G2",0.79679417778642,0.579012831547815,1.01457552402503,3.77197824086295e-08
"56","TMPRSS2","grade","Tumor",10730,4751,"G1G2","G3G4","Normal",NA,NA,1871,2172,708,NA,NA,13,20,0,NA,NA,"grade","Normal-G3G4",1.04086984938603,0.827232544771492,1.25450715400057,3.77197559853215e-08
"57","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level2-level1",0.885194724580524,4.34712212555866e-05,1.77034597793979,0.0499838476055193
"58","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level3-level1",-0.256679389542626,-1.35972886235291,0.846370083267663,0.929359044049366
"59","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level4-level1",0.414441452171339,-0.543651446673192,1.37253435101587,0.671931314093933
"60","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level3-level2",-1.14187411412315,-2.2819075322433,-0.00184069600299663,0.049471309071255
"61","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level4-level2",-0.470753272409185,-1.47120320008172,0.529696655263349,0.609858767203483
"62","TMPRSS2","bmi.group","Normal",708,133,"level1","level2","level3","level4",NA,47,38,19,29,NA,0,0,0,0,NA,"bmi.group","level4-level3",0.671120841713964,-0.526428930079907,1.86867061350784,0.462998685688662
"63","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level2-level1",0.217164771506763,-0.0420547081293183,0.476384251142844,0.136705068101525
"64","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level3-level1",0.142034006230869,-0.170006562964263,0.454074575426001,0.645811388563729
"65","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level4-level1",0.220335131974162,-0.0975762574578313,0.538246521406155,0.282364935515243
"66","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level3-level2",-0.0751307652758939,-0.393602896639246,0.243341366087458,0.930056073676701
"67","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level4-level2",0.00317036046739894,-0.32105615473775,0.327396875672548,0.999994294914691
"68","TMPRSS2","bmi.group","Tumor",10022,2651,"level1","level2","level3","level4",NA,940,833,451,427,NA,0,0,0,0,NA,"bmi.group","level4-level3",0.0783011257432928,-0.289526838613546,0.446129090100132,0.947311115016467
"69","TMPRSS2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","light-heavy",-0.647756685122424,-1.51059222465409,0.215078854409243,0.180841430278619
"70","TMPRSS2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","never-heavy",-0.1581240645633,-0.789157641833455,0.472909512706856,0.824070693565881
"71","TMPRSS2","smoking.group","Normal",708,179,"never","light","heavy",NA,NA,61,25,93,NA,NA,0,0,0,NA,NA,"smoking.group","never-light",0.489632620559124,-0.41988853194583,1.39915377306408,0.411987960334553
"72","TMPRSS2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","light-heavy",0.112905642846394,-0.209160303111896,0.434971588804684,0.689309227534247
"73","TMPRSS2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","never-heavy",0.0366729433593491,-0.227412183624445,0.300758070343143,0.943216178552632
"74","TMPRSS2","smoking.group","Tumor",10022,2402,"never","light","heavy",NA,NA,778,431,1193,NA,NA,0,0,0,NA,NA,"smoking.group","never-light",-0.0762326994870453,-0.420341173670221,0.267875774696131,0.861807551728463
